mcode,total_killings,mean_latitude,mean_longitude,total_migrations,nato_airstrikes,num_kla_events
1,36,42.51162,20.31078,15874,15,37
2,274,42.3970181818182,20.3784454545455,30115,30,20
3,271,42.59824,20.92368,702,8,22
4,173,42.5038333333333,21.0832333333333,2959,16,9
5,2,42.0606,20.6522,19315,4,NA
6,122,42.7725,20.57285,12665,11,14
7,234,42.22805,21.31165,515,5,4
8,89,42.6433,20.60795,7592,11,16
9,54,42.63705,21.05985,11502,10,3
10,4,NA,NA,103,3,1
11,146,42.86455,20.86085,27454,17,12
12,3,43.1039,20.8028,514,4,NA
13,188,42.5337333333333,21.1715666666667,6850,19,8
14,4,42.6178,21.4197,36,1,1
15,49,42.68265,21.0861,1254,7,8
16,499,42.3908,20.6362,35222,5,32
17,275,42.62164,20.38582,23819,27,56
18,107,42.9138,21.2032,344,9,13
19,317,42.6570666666667,21.1825,8867,54,75
20,277,42.2221032258064,20.6475870967742,62659,34,67
21,455,42.7221666666667,20.7620666666667,7660,7,21
22,51,42.4343,21.0298,375,8,2
23,3,42.2394,21.0272,7,4,2
24,333,42.38848,20.86116,44026,9,52
25,159,42.3706,21.1553,2222,27,24
26,55,42.3203,21.3578,19,1,2
27,196,42.7668,20.96765,10814,9,23
28,2,42.9101,20.687,94,6,1
29,5,43.0111,20.7378,13,3,NA
